Recycle bin path: '$Recycle.Bin/S-1-5-21-2433278764-4034921937-2507072421-1164'
Version: 2
OS Guess: Windows 10 or above
Time zone: UTC [+0000]

Index	Deleted Time	Gone?	Size	Path
$IS52B04.ps1	2024-08-26 16:26:57	TRUE	44	C:\Users\aleksej.pazjitnov\Desktop\42_meningen_med_livet.ps1
$IDXB5XG.txt	2024-08-26 16:27:04	TRUE	84	C:\Users\aleksej.pazjitnov\Desktop\Mormors_moonshine_recept.txt
$IQSVKUI.ps1	2024-08-26 16:27:21	TRUE	44	C:\temp\räkna_ut_din_riktiga_ålder.ps1
$ID8WDX0.exe	2024-08-26 16:34:01	TRUE	2501632	C:\Users\aleksej.pazjitnov\Downloads\HTTP_File_Server.exe
$ILTWQOK.copy0	2024-08-26 16:34:09	TRUE	204	C:\Users\aleksej.pazjitnov\Downloads\$I1ZDW1I.copy0
$IVRSVRX.db	2024-08-26 16:34:10	TRUE	192	C:\Users\aleksej.pazjitnov\Downloads\$IADY4WK.db
$IWHCWON.ini	2024-08-26 16:34:10	TRUE	192	C:\Users\aleksej.pazjitnov\Downloads\$I3DCME2.ini
$IXEPRWE.db	2024-08-26 16:34:10	TRUE	192	C:\Users\aleksej.pazjitnov\Downloads\$IRXT05B.db
$IWZBZD2.ini	2024-08-26 16:34:20	TRUE	129	C:\Users\aleksej.pazjitnov\Downloads\$R3DCME2.ini
$IDF36ID.pdf	2024-08-26 16:38:32	TRUE	17051	C:\Users\aleksej.pazjitnov\Documents\Area_51_Aliens.pdf
$IFB1VA9.txt	2024-08-26 16:38:32	TRUE	84	C:\Users\aleksej.pazjitnov\Documents\Bästa_handdukarna.txt
$IHHFNT9.txt	2024-08-26 16:38:32	TRUE	84	C:\Users\aleksej.pazjitnov\Documents\alla_mina_lösenord.txt
$ICYAP1S.txt	2024-08-26 16:38:32	TRUE	84	C:\Users\aleksej.pazjitnov\Documents\Cheatcodes_Tetris.txt
$I6XC53D.pdf	2024-08-26 16:38:32	TRUE	17051	C:\Users\aleksej.pazjitnov\Documents\Computers for Dummies.pdf
$IJCDGQC.pdf	2024-08-26 16:38:32	TRUE	17051	C:\Users\aleksej.pazjitnov\Documents\Doctor_Spin_1992.pdf
$I82EMJ6.pdf	2024-08-26 16:38:32	TRUE	17051	C:\Users\aleksej.pazjitnov\Documents\Hur_man_bygger_ett_hus_med_Youtube.pdf
$IQWYDJM.pdf	2024-08-26 16:38:32	TRUE	17051	C:\Users\aleksej.pazjitnov\Documents\Hur du lagar en bil med ett gem.pdf
$I7UFWSF.txt	2024-08-26 16:38:32	TRUE	84	C:\Users\aleksej.pazjitnov\Documents\Lorem_ipsum_dolor.txt
$IDC24E4.txt	2024-08-26 16:38:32	TRUE	7	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_01.txt
$IQJFLWD.pdf	2024-08-26 16:38:32	TRUE	17051	C:\Users\aleksej.pazjitnov\Documents\Is_Die_Hard_A_Christmas_Movie.pdf
$ITR2XAD.txt	2024-08-26 16:38:32	TRUE	7	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_02.txt
$I27B4VA.txt	2024-08-26 16:38:32	TRUE	13	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_06.txt
$IARW8X5.txt	2024-08-26 16:38:32	TRUE	7	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_05.txt
$IJQ9WLW.txt	2024-08-26 16:38:32	TRUE	7	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_03.txt
$IRNI70N.txt	2024-08-26 16:38:32	TRUE	5	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_04.txt
$I1341CT.txt	2024-08-26 16:38:32	TRUE	5	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_09.txt
$IDANQ4C.txt	2024-08-26 16:38:32	TRUE	12	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_07.txt
$ILLW1O6.txt	2024-08-26 16:38:32	TRUE	7	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_08.txt
$I6I660C.txt	2024-08-26 16:38:32	TRUE	4	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_10.txt
$IQ5ROG6.jpg	2024-08-26 16:38:38	TRUE	21384	C:\Users\aleksej.pazjitnov\Pictures\puppy.jpg
$IWOD8TX.zip	2024-08-26 16:38:40	TRUE	13929	C:\Users\aleksej.pazjitnov\Pictures\Alla mina katt-bilder.zip
$IZQJF50.txt	2024-08-26 16:38:58	TRUE	4	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_60.txt
$I161W3Y.txt	2024-08-26 16:38:58	TRUE	5	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_62.txt
$I3NTYNY.txt	2024-08-26 16:38:58	TRUE	9	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_64.txt
$IKU1NE4.txt	2024-08-26 16:38:58	TRUE	7	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_61.txt
$IXOWP2S.txt	2024-08-26 16:38:58	TRUE	9	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_63.txt
$I6BNM8X.txt	2024-08-26 16:38:58	TRUE	5	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_68.txt
$IKK1MNB.txt	2024-08-26 16:38:58	TRUE	8	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_65.txt
$IONKC73.txt	2024-08-26 16:38:58	TRUE	4	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_67.txt
$ITNVUYH.txt	2024-08-26 16:38:58	TRUE	6	C:\Users\aleksej.pazjitnov\Documents\Min_Biografi_del_66.txt
